ProductId,ProductName,PriceRegular,PriceSale,Category1,Category2,Category3,Category4,Category5,Category6,ProductUnitSize,Energie (kcal),Energie (kJ),Vet,waarvan verzadigd,waarvan onverzadigd,Koolhydraten,waarvan suikers,Voedingsvezel,Eiwitten,Zout,Vitamine C,Kalium/Potassium,waarvan enkelvoudig onverzadigd,waarvan meervoudig onverzadigd,Alcohol,Calcium,Vitamine B2 / Riboflavine,Vitamine B12 / Cyano-Cobalamine,Fosfor,Ijzer,Vitamine A,Vitamine D,Vitamine B11 / Foliumzuur,Jodium,Vitamine E,Linolzuur,Alfa-Linoleenzuur,Vitamine B3 / Niacine,Magnesium,Zink,Omega 3 Vetzuren,Vitamine B6 / Pyridoxine,Vitamine B1 / Thiamine,Vitamine K,Vitamine B5 / Pantotheenzuur,Koper,Natrium,waarvan polyolen,Seleen,Vitamine H / Biotine,waarvan toegevoegde suikers,Omega 6 Vetzuren,Folaat,Mangaan,Chloride,Sulfaat,Nitraten,Bicarbonaat,Siliciumdioxide (Sio2),Ash,Lactose,Glucose,Maltodextrine,Vitamin D2,Vitamine B7 / Inositol,Molybdeen,Seleen (Organisch),Eicosapentaeenzuur,Docosahexaeenzuur,waarvan zetmeel,Cholesterol,Transvet,"Organic Acids, Total","Ph, Hydrogen Ion Concentration",Fluoride,Carnitine,Choline,Taurine,Nucleotide,Arachidonzuur,Wei-Eiwit,Caseïne,Palmitinezuur,Galactose In Voedingsvezel,Fructose In Voedingsvezel,Chroom,Tafelzout Gemengd Met Een Kleine Hoeveelheid Van Verschillende Jodiumbevattende Zouten,Betaglucanen,Vitamin A; Calculated By Summation Of The Vitamin A Activities Of Retinol And The Active Carotenoids,Niacine Equivalent,Vitamine D3,Galactooligosaccharides (Gos),Vita K-1,Safranal,Omega 9 Vetzuren,Collageen hydrolysaten,Plantaardige Eiwitten,Oligomere proanthocyanidinen (OPC),Ingredients,ContainedAllergens,MayContainAllergens,NonFoodIngredients,ImageLowURL,ImageMediumURL,ImageHighURL
73,AH Franse baguettes,0.75,NA,Bakkerij,Afbakbrood,Stokbrood en ciabatta,NA,NA,NA,2 stuks,241,1023,1 g,0.2 g,0.8 g,50 g,3.3 g,1.7 g,7.2 g,0.9 g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ingrediënten: tarwebloem, water, gist, gefermenteerd tarwemeel, tarwemoutmeel, zout, antioxidant (ascorbinezuur [E300]). Waarvan toegevoegde suikers 0.00g per 100 gram en waarvan toegevoegd zout 0.90g per 100 gram","Glutenbevattende Granen, Tarwe","Melk, Sesamzaad, Gerst, Haver, Lactose, Rogge",NA,https://static.ah.nl/dam/product/AHI_43545239383738313133?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,https://static.ah.nl/dam/product/AHI_43545239383738313133?revLabel=1&rendition=400x400_JPG_Q85&fileType=binary,https://static.ah.nl/dam/product/AHI_43545239383738313133?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary
103,Lea & Perrins Worcestershire saus,2.09,NA,"Soepen, sauzen, kruiden, olie","Kruiden, smaakmakers, garnering",Smaakmakers,"Tafelsauzen, toevoegingen",Worcester sauce,NA,150 ml,96,405,0.9 g,0.4 g,NA,21 g,19 g,NA,0.8 g,2.9 g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ingrediënten: Moutazijn (van GERST), alcoholazijn, melasse, suiker, zout, ansjovis (VIS), tamarinde-extract, ui, knoflook, specerijen, aroma's","Vis, Glutenbevattende Granen, Gerst",NA,NA,https://static.ah.nl/dam/product/AHI_4354523130313137313437?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,https://static.ah.nl/dam/product/AHI_4354523130313137313437?revLabel=1&rendition=400x400_JPG_Q85&fileType=binary,https://static.ah.nl/dam/product/AHI_4354523130313137313437?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary
107,AH Aardappelballetjes,1.85,NA,Diepvries,Diepvries aardappelproducten,Aardappelballetjes,NA,NA,NA,600 g,137,575,4.4 g,0.5 g,3.9 g,21 g,0.7 g,2.2 g,2.2 g,0.7 g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ingrediënten: 88% aardappel, 6,4% aardappelvlok, plantaardige olie (4,7% zonnebloem, raap), zout, stabilisator (hydroxypropylmethylcellulose [E464]), specerijenextract. Waarvan toegevoegde suikers 0.00g per 100 gram en waarvan toegevoegd zout 0.70g per 100 gram",NA,"Melk, Glutenbevattende Granen, Lactose, Tarwe",NA,https://static.ah.nl/dam/product/AHI_434d50303130393731?revLabel=4&rendition=200x200_JPG_Q85&fileType=binary,https://static.ah.nl/dam/product/AHI_434d50303130393731?revLabel=4&rendition=400x400_JPG_Q85&fileType=binary,https://static.ah.nl/dam/product/AHI_434d50303130393731?revLabel=4&rendition=800x800_JPG_Q90&fileType=binary
123,Campina Halfvolle yoghurt vanillesmaak,1.79,NA,"Zuivel, eieren, boter",Yoghurt en kwark,Yoghurt,Yoghurt met smaak,Vanille yoghurt,NA,1 l,78,331,1.6 g,1.1 g,NA,12.2 g,11 g,NA,3.1 g,0.11 g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ingrediënten: halfvolle YOGHURT, suiker, gemodificeerd maïszetmeel, aroma, kleurstoffen: curcumine en annato ",Melk,NA,NA,https://static.ah.nl/dam/product/AHI_4354523130313134373236?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,https://static.ah.nl/dam/product/AHI_4354523130313134373236?revLabel=1&rendition=400x400_JPG_Q85&fileType=binary,https://static.ah.nl/dam/product/AHI_4354523130313134373236?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary
141,AH Galia meloen,2.99,NA,"Aardappel, groente, fruit",Fruit,"Meloen, kokosnoot",Meloenen,Galia meloen,NA,per stuk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://static.ah.nl/dam/product/AHI_434d50303133303437?revLabel=3&rendition=200x200_JPG_Q85&fileType=binary,https://static.ah.nl/dam/product/AHI_434d50303133303437?revLabel=3&rendition=400x400_JPG_Q85&fileType=binary,https://static.ah.nl/dam/product/AHI_434d50303133303437?revLabel=3&rendition=800x800_JPG_Q90&fileType=binary
159,AH Koffiefilters no2,0.79,NA,"Koffie, thee",Koffie,Koffieverrijkers,"Koffiefilters, suiker",Koffiefilter en overige,Koffiefilters,80 stuks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ingrediënten:,NA,NA,NA,https://static.ah.nl/dam/product/AHI_4354523130303637303736?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,https://static.ah.nl/dam/product/AHI_4354523130303637303736?revLabel=1&rendition=400x400_JPG_Q85&fileType=binary,https://static.ah.nl/dam/product/AHI_4354523130303637303736?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary
257,AH Roomkaas met kruiden,0.85,NA,Ontbijtgranen en beleg,Kaas beleg,Roomkaas,Roomkaas (kruiden),NA,NA,125 g,288,1190,28 g,18 g,7.2 g,4.4 g,4.2 g,0.1 g,4.6 g,1.4 g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ingrediënten: melk, 43% room, roomboter, lactose, zout, natuurlijke aroma’s, peterselie, zuurteregelaar (melkzuur [E270], citroenzuur [E330]), specerijen, mierikswortel, azijn, raapolie, zuursel, antioxidant (natriumdisulfiet [E223]). Waarvan toegevoegde suikers 1.6g per 100 gram en waarvan toegevoegd zout 1.40g per 100 gram","Melk, Lactose",NA,NA,https://static.ah.nl/dam/product/AHI_43545239383338323334?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,https://static.ah.nl/dam/product/AHI_43545239383338323334?revLabel=1&rendition=400x400_JPG_Q85&fileType=binary,https://static.ah.nl/dam/product/AHI_43545239383338323334?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary
284,Chiarli 1860 Lambrusco bianco,2.79,NA,Wijn en bubbels,Witte wijn,Overige witte wijn,NA,NA,NA,"0,75 l",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Contains sulfites,Sulfieten,NA,NA,https://static.ah.nl/dam/product/AHI_4354523130303938333234?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,https://static.ah.nl/dam/product/AHI_4354523130303938333234?revLabel=1&rendition=400x400_JPG_Q85&fileType=binary,https://static.ah.nl/dam/product/AHI_4354523130303938333234?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary
305,Cave de Beblenheim Riesling,7.29,NA,Wijn en bubbels,Witte wijn,Witte wijn - Fris en droog,Riesling (Fris en droog),NA,NA,"0,75 l",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Contains sulfites,Sulfieten,NA,NA,https://static.ah.nl/dam/product/AHI_434d50323233353530?revLabel=4&rendition=200x200_JPG_Q85&fileType=binary,https://static.ah.nl/dam/product/AHI_434d50323233353530?revLabel=4&rendition=400x400_JPG_Q85&fileType=binary,https://static.ah.nl/dam/product/AHI_434d50323233353530?revLabel=4&rendition=800x800_JPG_Q90&fileType=binary
307,Cave de Beblenheim Pinot blanc,5.79,NA,Wijn en bubbels,Witte wijn,Witte wijn - Fris en droog,Pinot Blanc (Fris en droog),NA,NA,"0,75 l",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Contains sulfites,Sulfieten,NA,NA,https://static.ah.nl/dam/product/AHI_4354523130303936323032?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,https://static.ah.nl/dam/product/AHI_4354523130303936323032?revLabel=1&rendition=400x400_JPG_Q85&fileType=binary,https://static.ah.nl/dam/product/AHI_4354523130303936323032?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary
